nm	Abs
497.80	0.077
497.60	0.077
497.40	0.078
497.20	0.078
497.00	0.078
496.80	0.079
496.60	0.080
496.40	0.079
496.20	0.080
496.00	0.081
495.80	0.081
495.60	0.082
495.40	0.082
495.20	0.082
495.00	0.083
494.80	0.083
494.60	0.083
494.40	0.085
494.20	0.083
494.00	0.085
493.80	0.086
493.60	0.084
493.40	0.087
493.20	0.086
493.00	0.087
492.80	0.088
492.60	0.087
492.40	0.089
492.20	0.089
492.00	0.088
491.80	0.089
491.60	0.090
491.40	0.090
491.20	0.091
491.00	0.091
490.80	0.091
490.60	0.093
490.40	0.092
490.20	0.093
490.00	0.094
489.80	0.094
489.60	0.094
489.40	0.095
489.20	0.095
489.00	0.095
488.80	0.097
488.60	0.097
488.40	0.096
488.20	0.098
488.00	0.098
487.80	0.098
487.60	0.100
487.40	0.100
487.20	0.100
487.00	0.101
486.80	0.100
486.60	0.101
486.40	0.103
486.20	0.102
486.00	0.103
485.80	0.103
485.60	0.103
485.40	0.106
485.20	0.105
485.00	0.105
484.80	0.106
484.60	0.106
484.40	0.107
484.20	0.108
484.00	0.108
483.80	0.108
483.60	0.110
483.40	0.109
483.20	0.110
483.00	0.111
482.80	0.111
482.60	0.112
482.40	0.112
482.20	0.112
482.00	0.114
481.80	0.114
481.60	0.113
481.40	0.116
481.20	0.115
481.00	0.116
480.80	0.118
480.60	0.116
480.40	0.118
480.20	0.118
480.00	0.118
479.80	0.119
479.60	0.119
479.40	0.120
479.20	0.121
479.00	0.120
478.80	0.122
478.60	0.122
478.40	0.123
478.20	0.123
478.00	0.123
477.80	0.124
477.60	0.125
477.40	0.126
477.20	0.125
477.00	0.126
476.80	0.128
476.60	0.127
476.40	0.128
476.20	0.129
476.00	0.128
475.80	0.130
475.60	0.130
475.40	0.130
475.20	0.131
475.00	0.132
474.80	0.132
474.60	0.133
474.40	0.133
474.20	0.134
474.00	0.135
473.80	0.134
473.60	0.136
473.40	0.137
473.20	0.137
473.00	0.137
472.80	0.138
472.60	0.138
472.40	0.138
472.20	0.140
472.00	0.139
471.80	0.140
471.60	0.142
471.40	0.140
471.20	0.143
471.00	0.142
470.80	0.143
470.60	0.144
470.40	0.143
470.20	0.145
470.00	0.146
469.80	0.145
469.60	0.146
469.40	0.147
469.20	0.146
469.00	0.148
468.80	0.148
468.60	0.148
468.40	0.149
468.20	0.150
468.00	0.150
467.80	0.151
467.60	0.151
467.40	0.152
467.20	0.152
467.00	0.153
466.80	0.153
466.60	0.155
466.40	0.154
466.20	0.154
466.00	0.156
465.80	0.155
465.60	0.156
465.40	0.158
465.20	0.157
465.00	0.158
464.80	0.159
464.60	0.158
464.40	0.160
464.20	0.160
464.00	0.160
463.80	0.161
463.60	0.160
463.40	0.162
463.20	0.162
463.00	0.162
462.80	0.163
462.60	0.163
462.40	0.164
462.20	0.164
462.00	0.165
461.80	0.165
461.60	0.165
461.40	0.167
461.20	0.166
461.00	0.167
460.80	0.168
460.60	0.167
460.40	0.169
460.20	0.169
460.00	0.168
459.80	0.170
459.60	0.169
459.40	0.170
459.20	0.172
459.00	0.170
458.80	0.172
458.60	0.172
458.40	0.171
458.20	0.173
458.00	0.174
457.80	0.173
457.60	0.174
457.40	0.174
457.20	0.175
457.00	0.175
456.80	0.175
456.60	0.176
456.40	0.176
456.20	0.176
456.00	0.177
455.80	0.177
455.60	0.178
455.40	0.178
455.20	0.179
455.00	0.178
454.80	0.179
454.60	0.181
454.40	0.179
454.20	0.180
454.00	0.181
453.80	0.180
453.60	0.182
453.40	0.180
453.20	0.182
453.00	0.184
452.80	0.181
452.60	0.183
452.40	0.183
452.20	0.182
452.00	0.184
451.80	0.184
451.60	0.184
451.40	0.185
451.20	0.185
451.00	0.184
450.80	0.186
450.60	0.185
450.40	0.186
450.20	0.186
450.00	0.186
449.80	0.187
449.60	0.187
449.40	0.187
449.20	0.187
449.00	0.188
448.80	0.188
448.60	0.187
448.40	0.188
448.20	0.189
448.00	0.189
447.80	0.190
447.60	0.189
447.40	0.189
447.20	0.189
447.00	0.190
446.80	0.190
446.60	0.189
446.40	0.190
446.20	0.191
446.00	0.190
445.80	0.190
445.60	0.192
445.40	0.190
445.20	0.191
445.00	0.191
444.80	0.191
444.60	0.193
444.40	0.191
444.20	0.192
444.00	0.193
443.80	0.191
443.60	0.193
443.40	0.193
443.20	0.192
443.00	0.193
442.80	0.193
442.60	0.193
442.40	0.193
442.20	0.193
442.00	0.193
441.80	0.192
441.60	0.193
441.40	0.194
441.20	0.193
441.00	0.193
440.80	0.193
440.60	0.194
440.40	0.193
440.20	0.193
440.00	0.194
439.80	0.193
439.60	0.193
439.40	0.195
439.20	0.193
439.00	0.194
438.80	0.194
438.60	0.193
438.40	0.194
438.20	0.194
438.00	0.193
437.80	0.195
437.60	0.193
437.40	0.193
437.20	0.195
437.00	0.193
436.80	0.194
436.60	0.193
436.40	0.193
436.20	0.194
436.00	0.193
435.80	0.193
435.60	0.193
435.40	0.193
435.20	0.193
435.00	0.193
434.80	0.193
434.60	0.193
434.40	0.193
434.20	0.192
434.00	0.193
433.80	0.193
433.60	0.192
433.40	0.192
433.20	0.192
433.00	0.193
432.80	0.192
432.60	0.192
432.40	0.191
432.20	0.192
432.00	0.191
431.80	0.190
431.60	0.192
431.40	0.191
431.20	0.190
431.00	0.191
430.80	0.190
430.60	0.191
430.40	0.190
430.20	0.189
430.00	0.190
429.80	0.189
429.60	0.189
429.40	0.190
429.20	0.188
429.00	0.188
428.80	0.189
428.60	0.187
428.40	0.188
428.20	0.189
428.00	0.187
427.80	0.187
427.60	0.187
427.40	0.187
427.20	0.188
427.00	0.185
426.80	0.186
426.60	0.187
426.40	0.185
426.20	0.185
426.00	0.185
425.80	0.184
425.60	0.185
425.40	0.183
425.20	0.184
425.00	0.185
424.80	0.183
424.60	0.183
424.40	0.182
424.20	0.183
424.00	0.182
423.80	0.182
423.60	0.181
423.40	0.181
423.20	0.181
423.00	0.181
422.80	0.181
422.60	0.180
422.40	0.180
422.20	0.180
422.00	0.179
421.80	0.179
421.60	0.179
421.40	0.177
421.20	0.178
421.00	0.179
420.80	0.176
420.60	0.177
420.40	0.177
420.20	0.175
420.00	0.177
419.80	0.175
419.60	0.175
419.40	0.176
419.20	0.174
419.00	0.174
418.80	0.174
418.60	0.172
418.40	0.173
418.20	0.173
418.00	0.171
417.80	0.172
417.60	0.171
417.40	0.170
417.20	0.171
417.00	0.170
416.80	0.170
416.60	0.170
416.40	0.168
416.20	0.169
416.00	0.169
415.80	0.167
415.60	0.168
415.40	0.166
415.20	0.167
415.00	0.166
414.80	0.165
414.60	0.166
414.40	0.165
414.20	0.164
414.00	0.164
413.80	0.164
413.60	0.164
413.40	0.163
413.20	0.162
413.00	0.162
412.80	0.162
412.60	0.161
412.40	0.161
412.20	0.160
412.00	0.160
411.80	0.159
411.60	0.160
411.40	0.158
411.20	0.158
411.00	0.159
410.80	0.156
410.60	0.157
410.40	0.157
410.20	0.156
410.00	0.156
409.80	0.155
409.60	0.155
409.40	0.155
409.20	0.153
409.00	0.154
408.80	0.154
408.60	0.152
408.40	0.153
408.20	0.152
408.00	0.151
407.80	0.152
407.60	0.150
407.40	0.150
407.20	0.150
407.00	0.148
406.80	0.149
406.60	0.149
406.40	0.148
406.20	0.148
406.00	0.147
405.80	0.146
405.60	0.147
405.40	0.146
405.20	0.145
405.00	0.146
404.80	0.144
404.60	0.146
404.40	0.144
404.20	0.143
404.00	0.144
403.80	0.142
403.60	0.142
403.40	0.142
403.20	0.142
403.00	0.141
402.80	0.140
402.60	0.141
402.40	0.140
402.20	0.139
402.00	0.138
401.80	0.138
401.60	0.138
401.40	0.137
401.20	0.137
401.00	0.137
400.80	0.136
400.60	0.137
400.40	0.135
400.20	0.134
400.00	0.135
