nm	Abs
511.60	0.119
511.40	0.116
511.20	0.117
511.00	0.116
510.80	0.115
510.60	0.115
510.40	0.113
510.20	0.113
510.00	0.114
509.80	0.111
509.60	0.111
509.40	0.112
509.20	0.109
509.00	0.110
508.80	0.109
508.60	0.108
508.40	0.109
508.20	0.106
508.00	0.106
507.80	0.107
507.60	0.105
507.40	0.103
507.20	0.104
507.00	0.103
506.80	0.103
506.60	0.102
506.40	0.101
506.20	0.102
506.00	0.100
505.80	0.099
505.60	0.100
505.40	0.098
505.20	0.099
505.00	0.097
504.80	0.097
504.60	0.098
504.40	0.095
504.20	0.095
504.00	0.095
503.80	0.094
503.60	0.093
503.40	0.093
503.20	0.092
503.00	0.093
502.80	0.091
502.60	0.090
502.40	0.092
502.20	0.089
502.00	0.090
501.80	0.089
501.60	0.088
501.40	0.089
501.20	0.087
501.00	0.086
500.80	0.088
500.60	0.084
500.40	0.085
500.20	0.086
500.00	0.084
499.80	0.084
499.60	0.084
499.40	0.082
499.20	0.083
499.00	0.081
498.80	0.081
498.60	0.082
498.40	0.079
498.20	0.080
498.00	0.080
497.80	0.078
497.60	0.079
497.40	0.077
497.20	0.077
497.00	0.078
496.80	0.076
496.60	0.076
496.40	0.077
496.20	0.074
496.00	0.075
495.80	0.075
495.60	0.073
495.40	0.074
495.20	0.073
495.00	0.073
494.80	0.073
494.60	0.071
494.40	0.073
494.20	0.070
494.00	0.071
493.80	0.071
493.60	0.068
493.40	0.070
493.20	0.068
493.00	0.068
492.80	0.069
492.60	0.066
492.40	0.068
492.20	0.067
492.00	0.065
491.80	0.066
491.60	0.065
491.40	0.065
491.20	0.066
491.00	0.064
490.80	0.065
490.60	0.064
490.40	0.062
490.20	0.064
490.00	0.062
489.80	0.062
489.60	0.062
489.40	0.061
489.20	0.062
489.00	0.061
488.80	0.059
488.60	0.061
488.40	0.059
488.20	0.059
488.00	0.060
487.80	0.057
487.60	0.058
487.40	0.058
487.20	0.056
487.00	0.058
486.80	0.056
486.60	0.056
486.40	0.055
486.20	0.055
486.00	0.056
485.80	0.054
485.60	0.054
485.40	0.054
485.20	0.053
485.00	0.054
484.80	0.052
484.60	0.053
484.40	0.053
484.20	0.051
484.00	0.052
483.80	0.051
483.60	0.051
483.40	0.051
483.20	0.050
483.00	0.050
482.80	0.050
482.60	0.049
482.40	0.050
482.20	0.048
482.00	0.048
481.80	0.049
481.60	0.046
481.40	0.049
481.20	0.047
481.00	0.047
480.80	0.048
480.60	0.045
480.40	0.047
480.20	0.046
480.00	0.045
479.80	0.046
479.60	0.044
479.40	0.045
479.20	0.044
479.00	0.043
478.80	0.044
478.60	0.043
478.40	0.043
478.20	0.044
478.00	0.041
477.80	0.043
477.60	0.042
477.40	0.041
477.20	0.042
477.00	0.040
476.80	0.042
476.60	0.039
476.40	0.040
476.20	0.041
476.00	0.039
475.80	0.040
475.60	0.039
475.40	0.039
475.20	0.039
475.00	0.039
474.80	0.039
474.60	0.038
474.40	0.038
474.20	0.038
474.00	0.037
473.80	0.037
473.60	0.037
473.40	0.036
473.20	0.037
473.00	0.036
472.80	0.035
472.60	0.036
472.40	0.034
472.20	0.036
472.00	0.035
471.80	0.034
471.60	0.035
471.40	0.033
471.20	0.034
471.00	0.034
470.80	0.033
470.60	0.034
470.40	0.032
470.20	0.033
470.00	0.033
469.80	0.031
469.60	0.033
469.40	0.031
469.20	0.031
469.00	0.033
468.80	0.030
468.60	0.031
468.40	0.031
468.20	0.030
468.00	0.031
467.80	0.030
467.60	0.030
467.40	0.030
467.20	0.029
467.00	0.030
